"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1",2018-03-01,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"2",2018-03-02,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"3",2018-03-03,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"4",2018-03-04,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"5",2018-03-05,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"6",2018-03-06,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"7",2018-03-07,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"8",2018-03-08,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"9",2018-03-09,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10",2018-03-10,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"11",2018-03-11,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"12",2018-03-13,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"13",2018-03-14,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"14",2018-03-15,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"15",2018-03-16,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"16",2018-03-17,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"17",2018-03-18,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"18",2018-03-19,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"19",2018-03-20,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"20",2018-03-21,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"21",2018-03-22,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"22",2018-03-23,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"23",2018-03-24,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"24",2018-03-25,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"25",2018-03-26,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"26",2018-03-27,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"27",2018-03-28,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"28",2018-03-29,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"29",2018-03-30,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"30",2018-03-31,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"31",2018-04-01,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"32",2018-04-02,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"33",2018-04-03,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"34",2018-04-04,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"35",2018-04-05,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"36",2018-04-06,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"37",2018-04-07,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"38",2018-04-08,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"39",2018-04-09,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"40",2018-04-10,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"41",2018-04-11,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"42",2018-04-12,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"43",2018-04-13,77,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"44",2018-04-14,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"45",2018-04-15,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"46",2018-04-16,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"47",2018-04-17,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"48",2018-04-18,84,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"49",2018-04-19,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"50",2018-04-20,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"51",2018-04-21,80,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"52",2018-04-22,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"53",2018-04-23,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"54",2018-04-24,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"55",2018-04-25,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"56",2018-04-26,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"57",2018-04-27,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"58",2018-04-28,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"59",2018-04-29,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"60",2018-04-30,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"61",2018-05-01,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"62",2018-05-02,87,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"63",2018-05-03,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"64",2018-05-04,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"65",2018-05-05,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"66",2018-05-06,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"67",2018-05-07,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"68",2018-05-08,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"69",2018-05-09,67,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"70",2018-05-10,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"71",2018-05-11,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"72",2018-05-12,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"73",2018-05-13,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"74",2018-05-14,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"75",2018-05-15,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"76",2018-05-16,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"77",2018-05-17,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"78",2018-05-18,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"79",2018-05-19,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"80",2018-05-20,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"81",2018-05-21,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"82",2018-05-22,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"83",2018-05-23,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"84",2018-05-24,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"85",2018-05-25,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"86",2018-05-26,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"87",2018-05-27,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"88",2018-05-28,19,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"89",2018-05-29,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"90",2018-05-30,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"91",2018-05-31,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"92",2018-06-01,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"93",2018-06-02,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"94",2018-06-03,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"95",2018-06-04,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"96",2018-06-05,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"97",2018-06-06,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"98",2018-06-07,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"99",2018-06-08,77,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"100",2018-06-09,80,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"101",2018-06-10,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"102",2018-06-11,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"103",2018-06-12,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"104",2018-06-13,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"105",2018-06-14,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"106",2018-06-15,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"107",2018-06-16,100,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"108",2018-06-17,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"109",2018-06-18,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"110",2018-06-19,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"111",2018-06-20,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"112",2018-06-21,22,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"113",2018-06-22,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"114",2018-06-23,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"115",2018-06-24,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"116",2018-06-25,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"117",2018-06-26,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"118",2018-06-27,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"119",2018-06-28,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"120",2018-06-29,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"121",2018-06-30,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"122",2018-07-01,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"123",2018-07-02,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"124",2018-07-03,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"125",2018-07-04,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"126",2018-07-05,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"127",2018-07-06,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"128",2018-07-07,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"129",2018-07-08,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"130",2018-07-09,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"131",2018-07-10,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"132",2018-07-11,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"133",2018-07-12,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"134",2018-07-13,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"135",2018-07-14,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"136",2018-07-15,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"137",2018-07-16,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"138",2018-07-17,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"139",2018-07-18,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
